"Q1.0K0.1","Q1.0K0.15","Q1.0K0.2","Q1.0K0.25","Q1.0K0.3","Q1.0K0.4","Q1.0K0.5","Q1.5K0.05","Q1.5K0.1","Q1.5K0.15","Q1.5K0.2","Q1.5K0.25","Q1.5K0.3","Q1.5K0.4","Q1.5K0.5","Q2.0K0.05","Q2.0K0.1","Q2.0K0.15","Q2.0K0.2","Q2.0K0.25","Q2.0K0.3","Q2.0K0.4","Q2.0K0.5","Q2.5K0.05","Q2.5K0.1","Q2.5K0.15","Q2.5K0.2","Q2.5K0.25","Q2.5K0.3","Q2.5K0.4","Q2.5K0.5","Q3.0K0.05","Q3.0K0.1","Q3.0K0.15","Q3.0K0.2","Q3.0K0.25","Q3.0K0.3","Q3.0K0.4","Q3.0K0.5","Q3.5K0.05","Q3.5K0.1","Q3.5K0.15","Q3.5K0.2","Q3.5K0.25","Q3.5K0.3","Q3.5K0.4","Q3.5K0.5","Q4.0K0.05","Q4.0K0.1","Q4.0K0.15","Q4.0K0.2","Q4.0K0.25","Q4.0K0.3","Q4.0K0.4","Q4.0K0.5"
285.717,285.743,285.723,285.698,285.726,285.714,285.722,285.731,285.734,285.728,285.743,285.732,285.73,285.661,285.706,285.75,285.778,285.762,285.768,285.771,285.76,285.791,285.734,285.775,285.809,285.811,285.827,285.77,285.834,285.793,285.778,285.855,285.888,285.878,285.856,285.824,285.833,285.721,285.802,285.897,285.9,285.879,285.901,285.867,285.882,285.906,285.815,285.908,285.931,285.937,285.918,285.969,285.911,285.942,285.919
285.864,285.896,285.87,285.847,285.879,285.858,285.866,285.879,285.887,285.882,285.897,285.884,285.881,285.803,285.858,285.901,285.932,285.916,285.921,285.921,285.918,285.933,285.884,285.931,285.963,285.962,285.977,285.926,285.99,285.938,285.936,286.009,286.039,286.033,286.014,285.986,285.984,285.889,285.958,286.052,286.061,286.041,286.058,286.025,286.043,286.059,285.993,286.07,286.093,286.096,286.075,286.122,286.071,286.101,286.064
286.013,286.048,286.019,285.998,286.026,286.003,286.008,286.03,286.039,286.04,286.051,286.033,286.031,285.94,286.007,286.054,286.087,286.07,286.076,286.07,286.076,286.074,286.033,286.087,286.117,286.115,286.125,286.084,286.14,286.079,286.09,286.165,286.191,286.19,286.167,286.15,286.136,286.061,286.12,286.211,286.22,286.205,286.217,286.183,286.204,286.211,286.17,286.233,286.251,286.255,286.232,286.273,286.225,286.258,286.213
286.158,286.195,286.166,286.145,286.175,286.143,286.153,286.179,286.189,286.193,286.199,286.183,286.174,286.079,286.151,286.205,286.24,286.221,286.226,286.217,286.235,286.215,286.184,286.241,286.275,286.267,286.275,286.239,286.288,286.215,286.245,286.32,286.34,286.351,286.327,286.304,286.286,286.236,286.282,286.367,286.38,286.365,286.38,286.337,286.366,286.366,286.345,286.395,286.415,286.414,286.387,286.428,286.382,286.414,286.368
286.303,286.333,286.309,286.283,286.315,286.273,286.288,286.318,286.328,286.335,286.337,286.328,286.306,286.208,286.291,286.344,286.385,286.359,286.368,286.362,286.383,286.345,286.336,286.388,286.427,286.41,286.42,286.388,286.426,286.344,286.393,286.466,286.481,286.506,286.479,286.452,286.429,286.402,286.436,286.521,286.531,286.521,286.536,286.483,286.522,286.518,286.501,286.552,286.57,286.566,286.536,286.578,286.533,286.564,286.52
286.443,286.472,286.452,286.423,286.457,286.403,286.429,286.46,286.47,286.473,286.474,286.471,286.441,286.355,286.434,286.487,286.529,286.502,286.507,286.507,286.531,286.474,286.492,286.537,286.581,286.556,286.56,286.536,286.561,286.481,286.55,286.614,286.625,286.657,286.636,286.602,286.574,286.564,286.597,286.676,286.687,286.674,286.689,286.636,286.677,286.676,286.652,286.709,286.726,286.72,286.691,286.727,286.69,286.719,286.68
286.587,286.608,286.595,286.559,286.597,286.534,286.57,286.602,286.609,286.611,286.61,286.61,286.58,286.507,286.576,286.628,286.674,286.649,286.647,286.651,286.677,286.602,286.645,286.684,286.727,286.702,286.705,286.682,286.698,286.622,286.704,286.76,286.769,286.797,286.789,286.753,286.724,286.72,286.756,286.826,286.84,286.827,286.841,286.79,286.828,286.836,286.801,286.866,286.878,286.875,286.843,286.872,286.848,286.87,286.84
286.729,286.748,286.739,286.697,286.742,286.674,286.719,286.746,286.745,286.753,286.757,286.752,286.724,286.665,286.728,286.77,286.821,286.799,286.793,286.798,286.823,286.73,286.807,286.84,286.878,286.851,286.852,286.835,286.842,286.773,286.864,286.914,286.922,286.943,286.943,286.901,286.875,286.881,286.918,286.981,287,286.978,286.997,286.947,286.983,286.998,286.956,287.025,287.033,287.033,286.998,287.027,287.008,287.027,287.004
286.873,286.887,286.877,286.833,286.88,286.815,286.861,286.888,286.88,286.895,286.898,286.891,286.867,286.816,286.878,286.908,286.966,286.938,286.94,286.942,286.965,286.86,286.963,286.991,287.023,286.996,287,286.979,286.983,286.925,287.012,287.067,287.063,287.085,287.08,287.044,287.017,287.033,287.076,287.133,287.15,287.128,287.147,287.103,287.134,287.149,287.103,287.184,287.186,287.185,287.15,287.181,287.161,287.18,287.161
286.996,287.013,286.998,286.954,287.006,286.939,286.99,287.016,286.999,287.021,287.024,287.016,287,286.956,287.018,287.038,287.094,287.065,287.076,287.074,287.092,286.974,287.1,287.132,287.158,287.131,287.13,287.11,287.115,287.068,287.139,287.204,287.195,287.218,287.206,287.177,287.143,287.174,287.219,287.274,287.291,287.269,287.282,287.248,287.279,287.284,287.24,287.328,287.332,287.327,287.294,287.323,287.306,287.317,287.311
287.107,287.122,287.1,287.056,287.111,287.043,287.097,287.122,287.104,287.125,287.129,287.124,287.109,287.074,287.128,287.151,287.201,287.174,287.187,287.184,287.201,287.076,287.212,287.246,287.267,287.25,287.247,287.219,287.227,287.195,287.244,287.323,287.314,287.337,287.313,287.292,287.251,287.29,287.328,287.398,287.409,287.39,287.396,287.37,287.4,287.396,287.351,287.448,287.457,287.451,287.416,287.441,287.426,287.435,287.441
287.211,287.223,287.197,287.155,287.213,287.145,287.2,287.221,287.199,287.22,287.226,287.226,287.213,287.184,287.23,287.257,287.304,287.28,287.289,287.286,287.303,287.176,287.321,287.356,287.372,287.361,287.357,287.322,287.336,287.31,287.344,287.436,287.428,287.449,287.418,287.395,287.355,287.401,287.43,287.512,287.524,287.508,287.506,287.484,287.516,287.502,287.457,287.568,287.573,287.562,287.531,287.557,287.543,287.548,287.57
287.317,287.325,287.301,287.264,287.319,287.254,287.31,287.331,287.308,287.326,287.329,287.329,287.322,287.297,287.331,287.369,287.414,287.392,287.399,287.393,287.413,287.289,287.434,287.469,287.481,287.476,287.476,287.428,287.453,287.43,287.449,287.555,287.547,287.565,287.532,287.511,287.468,287.52,287.538,287.632,287.642,287.632,287.628,287.607,287.637,287.615,287.574,287.691,287.695,287.679,287.65,287.685,287.669,287.67,287.702
287.432,287.433,287.408,287.376,287.431,287.368,287.429,287.442,287.422,287.434,287.436,287.44,287.431,287.411,287.43,287.484,287.531,287.505,287.514,287.509,287.522,287.404,287.545,287.588,287.594,287.594,287.595,287.539,287.571,287.556,287.551,287.676,287.673,287.689,287.651,287.633,287.589,287.647,287.645,287.76,287.768,287.756,287.754,287.735,287.758,287.736,287.697,287.816,287.823,287.802,287.774,287.817,287.799,287.793,287.841
287.539,287.532,287.507,287.484,287.533,287.48,287.536,287.544,287.533,287.536,287.537,287.542,287.533,287.519,287.519,287.588,287.636,287.607,287.619,287.616,287.624,287.509,287.654,287.7,287.699,287.703,287.709,287.645,287.682,287.679,287.653,287.792,287.791,287.801,287.76,287.746,287.703,287.764,287.747,287.879,287.88,287.87,287.878,287.856,287.872,287.851,287.811,287.931,287.947,287.914,287.889,287.945,287.919,287.911,287.959
287.652,287.642,287.613,287.597,287.642,287.596,287.65,287.653,287.646,287.644,287.646,287.652,287.64,287.632,287.614,287.704,287.748,287.715,287.726,287.728,287.73,287.623,287.769,287.816,287.809,287.82,287.826,287.756,287.795,287.8,287.772,287.913,287.914,287.915,287.878,287.862,287.824,287.886,287.857,287.998,287.999,287.989,288.008,287.979,287.995,287.972,287.934,288.056,288.075,288.036,288.009,288.075,288.045,288.031,288.087
287.75,287.741,287.712,287.692,287.739,287.707,287.75,287.746,287.74,287.736,287.745,287.753,287.737,287.73,287.702,287.799,287.851,287.815,287.822,287.83,287.828,287.728,287.865,287.92,287.903,287.926,287.931,287.86,287.896,287.909,287.882,288.025,288.025,288.021,287.985,287.967,287.932,287.988,287.955,288.106,288.11,288.093,288.125,288.085,288.106,288.08,288.044,288.168,288.195,288.146,288.114,288.19,288.159,288.139,288.194
287.85,287.843,287.813,287.794,287.841,287.82,287.856,287.843,287.839,287.836,287.846,287.856,287.835,287.832,287.798,287.898,287.951,287.919,287.925,287.932,287.93,287.84,287.954,288.028,288.006,288.041,288.034,287.974,287.999,288.018,287.995,288.138,288.136,288.13,288.094,288.076,288.042,288.092,288.059,288.216,288.225,288.199,288.242,288.188,288.223,288.195,288.159,288.284,288.32,288.257,288.23,288.305,288.274,288.252,288.302
287.953,287.944,287.919,287.898,287.945,287.932,287.963,287.946,287.945,287.938,287.949,287.958,287.937,287.935,287.899,288.005,288.056,288.026,288.031,288.037,288.032,287.962,288.043,288.137,288.115,288.153,288.133,288.085,288.108,288.129,288.113,288.253,288.246,288.242,288.203,288.186,288.157,288.201,288.169,288.327,288.34,288.31,288.358,288.295,288.342,288.31,288.275,288.402,288.448,288.371,288.35,288.422,288.389,288.374,288.408
288.064,288.056,288.029,288.01,288.059,288.049,288.073,288.058,288.058,288.051,288.058,288.071,288.051,288.044,288.011,288.122,288.166,288.138,288.145,288.15,288.147,288.097,288.142,288.256,288.237,288.268,288.241,288.203,288.224,288.251,288.245,288.375,288.366,288.359,288.324,288.3,288.28,288.321,288.287,288.45,288.47,288.436,288.481,288.417,288.47,288.434,288.393,288.527,288.588,288.494,288.484,288.552,288.512,288.507,288.53
288.222,288.216,288.182,288.165,288.214,288.2,288.226,288.216,288.218,288.212,288.213,288.225,288.207,288.197,288.166,288.28,288.321,288.294,288.306,288.306,288.302,288.278,288.283,288.418,288.398,288.429,288.394,288.366,288.388,288.419,288.406,288.538,288.536,288.518,288.488,288.459,288.447,288.483,288.442,288.619,288.64,288.605,288.647,288.584,288.636,288.602,288.55,288.7,288.771,288.662,288.66,288.729,288.682,288.684,288.683
288.377,288.373,288.336,288.322,288.369,288.348,288.378,288.371,288.379,288.369,288.364,288.375,288.357,288.339,288.324,288.436,288.475,288.448,288.466,288.458,288.457,288.451,288.422,288.578,288.562,288.587,288.55,288.526,288.553,288.581,288.562,288.7,288.703,288.673,288.652,288.617,288.611,288.642,288.592,288.785,288.813,288.771,288.812,288.756,288.8,288.766,288.707,288.871,288.948,288.831,288.838,288.904,288.85,288.856,288.837
288.536,288.525,288.489,288.477,288.524,288.494,288.522,288.527,288.539,288.527,288.521,288.522,288.507,288.479,288.486,288.59,288.629,288.602,288.619,288.612,288.608,288.615,288.56,288.735,288.725,288.743,288.704,288.68,288.718,288.743,288.716,288.86,288.869,288.827,288.814,288.775,288.775,288.799,288.744,288.954,288.98,288.938,288.974,288.929,288.958,288.93,288.856,289.04,289.125,289.002,289.008,289.076,289.017,289.027,288.992
288.683,288.674,288.634,288.629,288.675,288.639,288.662,288.679,288.689,288.681,288.673,288.667,288.657,288.613,288.648,288.746,288.782,288.753,288.769,288.76,288.756,288.773,288.697,288.891,288.884,288.895,288.857,288.83,288.875,288.894,288.863,289.021,289.033,288.975,288.97,288.933,288.939,288.947,288.893,289.118,289.14,289.1,289.13,289.096,289.114,289.092,288.998,289.211,289.299,289.17,289.176,289.245,289.183,289.192,289.149
288.839,288.827,288.79,288.787,288.832,288.791,288.806,288.838,288.847,288.837,288.828,288.818,288.817,288.758,288.815,288.909,288.944,288.912,288.924,288.918,288.914,288.933,288.85,289.055,289.048,289.054,289.023,288.996,289.041,289.054,289.02,289.191,289.201,289.134,289.138,289.095,289.11,289.099,289.049,289.29,289.303,289.271,289.296,289.272,289.279,289.26,289.15,289.387,289.475,289.346,289.356,289.423,289.358,289.364,289.314
288.995,288.981,288.946,288.947,288.987,288.948,288.951,288.995,289.001,288.996,288.983,288.972,288.976,288.906,288.982,289.071,289.107,289.073,289.079,289.075,289.068,289.082,289.006,289.216,289.217,289.213,289.19,289.161,289.201,289.211,289.18,289.361,289.374,289.301,289.311,289.26,289.281,289.262,289.211,289.465,289.466,289.441,289.464,289.447,289.45,289.425,289.307,289.566,289.651,289.52,289.539,289.598,289.533,289.537,289.481
289.161,289.146,289.113,289.115,289.151,289.114,289.105,289.163,289.166,289.163,289.153,289.139,289.148,289.071,289.159,289.248,289.276,289.24,289.241,289.24,289.234,289.244,289.177,289.392,289.393,289.385,289.373,289.334,289.369,289.384,289.346,289.539,289.558,289.479,289.492,289.439,289.467,289.435,289.382,289.652,289.64,289.621,289.647,289.633,289.633,289.608,289.479,289.753,289.842,289.705,289.731,289.788,289.722,289.722,289.662
289.321,289.31,289.276,289.273,289.312,289.27,289.257,289.324,289.325,289.326,289.313,289.299,289.308,289.23,289.326,289.412,289.435,289.404,289.4,289.4,289.393,289.396,289.346,289.558,289.563,289.547,289.543,289.501,289.531,289.548,289.498,289.71,289.731,289.647,289.662,289.61,289.644,289.607,289.541,289.832,289.809,289.792,289.823,289.811,289.807,289.79,289.65,289.937,290.026,289.885,289.914,289.968,289.902,289.901,289.844
289.498,289.486,289.455,289.446,289.487,289.438,289.425,289.498,289.503,289.504,289.49,289.476,289.486,289.408,289.502,289.593,289.61,289.583,289.577,289.581,289.57,289.557,289.532,289.738,289.75,289.726,289.73,289.683,289.71,289.729,289.664,289.894,289.919,289.83,289.847,289.797,289.836,289.796,289.717,290.025,289.997,289.986,290.013,290.004,289.995,289.985,289.844,290.135,290.224,290.084,290.116,290.168,290.097,290.1,290.039
289.664,289.657,289.622,289.615,289.657,289.597,289.591,289.663,289.672,289.674,289.653,289.641,289.655,289.578,289.663,289.758,289.775,289.755,289.747,289.753,289.741,289.713,289.711,289.914,289.925,289.895,289.907,289.86,289.884,289.897,289.825,290.069,290.098,290.006,290.025,289.977,290.018,289.985,289.895,290.209,290.179,290.173,290.191,290.188,290.173,290.172,290.033,290.327,290.417,290.275,290.308,290.355,290.287,290.289,290.226
289.817,289.812,289.779,289.769,289.813,289.744,289.744,289.815,289.829,289.831,289.809,289.793,289.807,289.734,289.809,289.911,289.928,289.916,289.908,289.913,289.902,289.865,289.878,290.075,290.087,290.053,290.067,290.023,290.051,290.052,289.978,290.227,290.266,290.167,290.191,290.143,290.191,290.155,290.065,290.381,290.351,290.347,290.357,290.358,290.339,290.342,290.218,290.505,290.6,290.452,290.486,290.531,290.461,290.458,290.396
289.977,289.978,289.939,289.931,289.978,289.899,289.911,289.972,289.995,289.993,289.971,289.953,289.965,289.894,289.967,290.078,290.09,290.081,290.08,290.079,290.068,290.031,290.049,290.239,290.258,290.216,290.233,290.192,290.228,290.21,290.142,290.4,290.442,290.333,290.362,290.316,290.372,290.333,290.251,290.559,290.533,290.527,290.534,290.537,290.514,290.52,290.424,290.695,290.787,290.634,290.667,290.716,290.642,290.632,290.568
290.151,290.154,290.111,290.104,290.151,290.064,290.084,290.142,290.172,290.164,290.145,290.124,290.138,290.067,290.138,290.255,290.265,290.259,290.267,290.259,290.245,290.21,290.23,290.42,290.44,290.397,290.409,290.365,290.418,290.386,290.326,290.582,290.629,290.515,290.544,290.509,290.564,290.517,290.448,290.748,290.722,290.722,290.723,290.731,290.706,290.711,290.646,290.897,290.986,290.828,290.862,290.91,290.835,290.816,290.754
290.315,290.32,290.276,290.274,290.317,290.224,290.253,290.312,290.34,290.331,290.312,290.294,290.31,290.229,290.31,290.427,290.441,290.427,290.44,290.431,290.419,290.384,290.408,290.594,290.616,290.571,290.578,290.538,290.594,290.563,290.509,290.758,290.806,290.696,290.716,290.698,290.75,290.691,290.636,290.929,290.909,290.909,290.911,290.92,290.895,290.897,290.865,291.09,291.18,291.022,291.052,291.098,291.023,290.997,290.939
290.482,290.475,290.438,290.435,290.477,290.38,290.412,290.474,290.503,290.49,290.476,290.459,290.47,290.379,290.478,290.593,290.607,290.589,290.61,290.599,290.587,290.542,290.58,290.765,290.782,290.741,290.741,290.702,290.767,290.748,290.694,290.931,290.979,290.866,290.886,290.881,290.927,290.864,290.821,291.11,291.085,291.091,291.086,291.102,291.078,291.072,291.073,291.274,291.365,291.208,291.236,291.279,291.205,291.167,291.12
290.653,290.641,290.605,290.607,290.65,290.548,290.583,290.642,290.67,290.656,290.64,290.63,290.643,290.535,290.655,290.763,290.781,290.758,290.781,290.767,290.759,290.705,290.75,290.937,290.959,290.924,290.914,290.877,290.945,290.942,290.892,291.115,291.158,291.043,291.061,291.069,291.113,291.039,291.018,291.293,291.269,291.274,291.272,291.286,291.269,291.255,291.277,291.468,291.559,291.403,291.428,291.461,291.388,291.35,291.305
290.82,290.803,290.773,290.771,290.819,290.709,290.75,290.805,290.83,290.816,290.803,290.795,290.811,290.687,290.826,290.924,290.946,290.916,290.949,290.93,290.925,290.864,290.916,291.107,291.126,291.102,291.085,291.047,291.119,291.131,291.088,291.292,291.331,291.212,291.233,291.255,291.289,291.209,291.212,291.478,291.451,291.451,291.454,291.464,291.454,291.436,291.466,291.663,291.739,291.59,291.621,291.642,291.571,291.536,291.488
290.957,290.944,290.916,290.916,290.96,290.848,290.893,290.943,290.965,290.952,290.943,290.937,290.955,290.811,290.967,291.059,291.089,291.055,291.097,291.076,291.069,291,291.056,291.252,291.268,291.255,291.232,291.196,291.265,291.286,291.252,291.445,291.48,291.362,291.384,291.417,291.441,291.353,291.375,291.64,291.607,291.604,291.61,291.618,291.612,291.592,291.625,291.833,291.9,291.754,291.788,291.794,291.732,291.702,291.642
291.118,291.102,291.072,291.076,291.119,291.006,291.052,291.098,291.122,291.109,291.103,291.093,291.116,290.958,291.123,291.21,291.245,291.216,291.261,291.238,291.229,291.157,291.21,291.417,291.426,291.425,291.398,291.361,291.43,291.455,291.425,291.617,291.649,291.531,291.555,291.596,291.611,291.513,291.547,291.819,291.78,291.775,291.785,291.792,291.782,291.769,291.8,292.02,292.078,291.929,291.979,291.971,291.909,291.881,291.805
291.289,291.27,291.24,291.251,291.291,291.175,291.221,291.265,291.293,291.276,291.271,291.256,291.291,291.122,291.285,291.378,291.409,291.389,291.434,291.411,291.404,291.329,291.376,291.594,291.599,291.604,291.571,291.535,291.605,291.637,291.607,291.797,291.824,291.712,291.735,291.785,291.797,291.682,291.73,292.015,291.968,291.96,291.974,291.979,291.962,291.956,291.977,292.217,292.271,292.122,292.177,292.158,292.105,292.068,291.986
291.457,291.426,291.408,291.417,291.457,291.343,291.388,291.432,291.46,291.435,291.435,291.417,291.458,291.282,291.437,291.543,291.576,291.558,291.6,291.58,291.574,291.496,291.537,291.765,291.771,291.776,291.737,291.707,291.774,291.813,291.775,291.978,291.997,291.889,291.916,291.968,291.979,291.841,291.904,292.204,292.147,292.14,292.162,292.16,292.137,292.135,292.147,292.406,292.462,292.312,292.373,292.346,292.293,292.249,292.163
291.629,291.589,291.579,291.597,291.631,291.522,291.563,291.603,291.632,291.606,291.603,291.587,291.632,291.456,291.589,291.713,291.748,291.731,291.769,291.752,291.752,291.667,291.706,291.944,291.948,291.956,291.91,291.885,291.949,291.994,291.952,292.167,292.18,292.072,292.098,292.151,292.165,292.002,292.093,292.395,292.33,292.328,292.357,292.346,292.323,292.318,292.332,292.604,292.661,292.511,292.569,292.537,292.491,292.434,292.348
291.803,291.752,291.75,291.767,291.802,291.698,291.737,291.773,291.805,291.772,291.77,291.756,291.798,291.634,291.74,291.882,291.918,291.901,291.934,291.921,291.926,291.839,291.881,292.123,292.12,292.132,292.085,292.06,292.121,292.171,292.125,292.353,292.361,292.254,292.278,292.332,292.347,292.17,292.276,292.587,292.512,292.512,292.551,292.527,292.504,292.503,292.517,292.801,292.86,292.705,292.766,292.726,292.686,292.618,292.531
291.956,291.903,291.904,291.926,291.959,291.856,291.899,291.926,291.955,291.924,291.919,291.908,291.946,291.795,291.871,292.037,292.071,292.051,292.082,292.073,292.085,291.992,292.037,292.281,292.275,292.292,292.242,292.224,292.271,292.326,292.275,292.524,292.525,292.417,292.442,292.496,292.514,292.322,292.437,292.761,292.684,292.681,292.725,292.69,292.67,292.675,292.69,292.98,293.04,292.885,292.942,292.898,292.862,292.79,292.695
292.11,292.059,292.058,292.085,292.118,292.02,292.062,292.084,292.109,292.082,292.077,292.066,292.1,291.963,292.008,292.199,292.228,292.208,292.242,292.234,292.247,292.151,292.196,292.442,292.438,292.457,292.404,292.389,292.428,292.488,292.431,292.697,292.693,292.585,292.611,292.669,292.688,292.478,292.595,292.94,292.86,292.859,292.903,292.861,292.841,292.851,292.869,293.167,293.226,293.071,293.125,293.079,293.043,292.971,292.867
292.271,292.225,292.22,292.25,292.28,292.191,292.231,292.245,292.272,292.245,292.24,292.23,292.258,292.131,292.149,292.366,292.389,292.375,292.405,292.396,292.414,292.31,292.354,292.611,292.604,292.631,292.574,292.563,292.594,292.653,292.589,292.87,292.871,292.76,292.783,292.85,292.866,292.646,292.75,293.124,293.04,293.041,293.085,293.039,293.02,293.035,293.052,293.356,293.42,293.269,293.311,293.265,293.229,293.161,293.049
292.452,292.407,292.408,292.428,292.461,292.386,292.415,292.427,292.452,292.432,292.422,292.417,292.433,292.319,292.312,292.554,292.57,292.558,292.595,292.577,292.598,292.485,292.533,292.8,292.791,292.819,292.769,292.757,292.782,292.837,292.764,293.062,293.069,292.952,292.983,293.05,293.063,292.838,292.924,293.33,293.246,293.245,293.283,293.239,293.219,293.241,293.258,293.565,293.627,293.488,293.517,293.47,293.436,293.372,293.253
292.652,292.609,292.609,292.631,292.658,292.592,292.613,292.629,292.645,292.635,292.622,292.62,292.632,292.527,292.495,292.761,292.774,292.757,292.796,292.775,292.796,292.689,292.725,293.008,292.997,293.027,292.978,292.965,292.99,293.037,292.958,293.269,293.284,293.165,293.202,293.263,293.278,293.052,293.122,293.549,293.472,293.472,293.499,293.458,293.439,293.467,293.478,293.79,293.85,293.727,293.743,293.697,293.661,293.607,293.481
292.863,292.819,292.822,292.838,292.861,292.803,292.812,292.841,292.849,292.84,292.829,292.827,292.837,292.746,292.695,292.977,292.983,292.966,293.003,292.977,293.002,292.904,292.923,293.225,293.219,293.242,293.198,293.186,293.203,293.248,293.165,293.487,293.507,293.387,293.43,293.491,293.496,293.273,293.331,293.776,293.705,293.707,293.722,293.686,293.669,293.703,293.705,294.03,294.085,293.965,293.981,293.935,293.893,293.851,293.723
293.089,293.047,293.048,293.065,293.083,293.031,293.022,293.066,293.069,293.063,293.052,293.049,293.056,292.982,292.914,293.203,293.209,293.196,293.224,293.197,293.223,293.132,293.134,293.455,293.454,293.47,293.43,293.421,293.437,293.472,293.387,293.723,293.746,293.625,293.672,293.738,293.727,293.515,293.553,294.02,293.953,293.959,293.963,293.937,293.913,293.952,293.942,294.278,294.332,294.227,294.235,294.188,294.144,294.111,293.982
293.325,293.282,293.285,293.3,293.313,293.262,293.242,293.299,293.3,293.298,293.289,293.278,293.287,293.225,293.146,293.44,293.443,293.441,293.461,293.434,293.458,293.372,293.36,293.697,293.701,293.715,293.677,293.667,293.681,293.708,293.626,293.974,293.997,293.872,293.925,293.998,293.975,293.773,293.788,294.276,294.215,294.216,294.215,294.195,294.162,294.213,294.187,294.539,294.594,294.496,294.497,294.447,294.408,294.376,294.25
293.566,293.523,293.529,293.545,293.552,293.499,293.471,293.539,293.543,293.537,293.531,293.512,293.525,293.473,293.384,293.688,293.686,293.688,293.704,293.676,293.706,293.615,293.59,293.945,293.951,293.961,293.926,293.917,293.936,293.95,293.866,294.228,294.249,294.124,294.184,294.264,294.234,294.044,294.031,294.537,294.484,294.484,294.477,294.457,294.417,294.474,294.437,294.809,294.861,294.773,294.766,294.713,294.675,294.644,294.528
293.791,293.747,293.755,293.77,293.771,293.719,293.679,293.762,293.769,293.757,293.753,293.729,293.747,293.694,293.602,293.916,293.908,293.915,293.928,293.898,293.935,293.831,293.797,294.173,294.186,294.191,294.155,294.149,294.173,294.172,294.08,294.459,294.483,294.363,294.425,294.505,294.477,294.295,294.253,294.78,294.738,294.729,294.718,294.7,294.653,294.715,294.669,295.055,295.106,295.025,295.014,294.96,294.921,294.889,294.784
294.036,293.995,294.004,294.022,294.019,293.965,293.917,294.011,294.015,294.005,294.001,293.973,293.996,293.935,293.845,294.171,294.152,294.169,294.178,294.145,294.189,294.074,294.031,294.423,294.44,294.441,294.407,294.405,294.433,294.416,294.319,294.715,294.746,294.629,294.69,294.769,294.749,294.578,294.506,295.05,295.012,295.001,294.983,294.966,294.915,294.976,294.93,295.328,295.38,295.305,295.289,295.237,295.198,295.162,295.069
294.283,294.246,294.251,294.265,294.262,294.202,294.153,294.259,294.259,294.249,294.247,294.214,294.242,294.166,294.082,294.422,294.393,294.417,294.425,294.386,294.439,294.315,294.268,294.673,294.69,294.697,294.665,294.66,294.693,294.655,294.557,294.973,295.007,294.899,294.951,295.031,295.014,294.859,294.76,295.324,295.285,295.265,295.25,295.236,295.179,295.233,295.195,295.602,295.654,295.585,295.563,295.513,295.474,295.432,295.345
294.536,294.5,294.501,294.516,294.51,294.442,294.396,294.511,294.512,294.498,294.495,294.46,294.489,294.397,294.328,294.676,294.638,294.672,294.682,294.634,294.694,294.559,294.512,294.93,294.95,294.957,294.924,294.914,294.957,294.896,294.806,295.24,295.279,295.176,295.216,295.293,295.283,295.145,295.019,295.6,295.561,295.543,295.518,295.511,295.449,295.504,295.459,295.879,295.933,295.869,295.843,295.796,295.754,295.711,295.62
294.802,294.764,294.765,294.779,294.775,294.692,294.656,294.78,294.778,294.762,294.754,294.72,294.752,294.645,294.59,294.944,294.901,294.935,294.957,294.899,294.964,294.824,294.774,295.206,295.223,295.233,295.197,295.181,295.236,295.153,295.073,295.529,295.562,295.46,295.497,295.573,295.566,295.435,295.303,295.888,295.853,295.837,295.803,295.801,295.736,295.791,295.736,296.179,296.23,296.17,296.139,296.091,296.05,296.005,295.907
295.067,295.031,295.026,295.042,295.036,294.941,294.924,295.045,295.041,295.027,295.014,294.98,295.015,294.89,294.855,295.211,295.161,295.199,295.23,295.163,295.236,295.088,295.041,295.482,295.496,295.506,295.472,295.45,295.514,295.41,295.345,295.808,295.846,295.746,295.778,295.858,295.851,295.718,295.592,296.176,296.144,296.126,296.086,296.082,296.025,296.081,296.01,296.477,296.521,296.469,296.429,296.389,296.348,296.3,296.196
295.334,295.298,295.289,295.304,295.298,295.197,295.193,295.311,295.302,295.291,295.28,295.24,295.281,295.135,295.124,295.48,295.424,295.465,295.503,295.434,295.507,295.356,295.317,295.761,295.768,295.779,295.746,295.718,295.791,295.671,295.63,296.091,296.13,296.033,296.059,296.143,296.135,295.998,295.886,296.468,296.443,296.414,296.373,296.37,296.313,296.37,296.286,296.78,296.816,296.763,296.73,296.686,296.644,296.598,296.486
295.605,295.568,295.554,295.576,295.572,295.464,295.471,295.585,295.567,295.56,295.548,295.506,295.554,295.386,295.398,295.756,295.692,295.738,295.775,295.709,295.782,295.627,295.597,296.046,296.048,296.057,296.024,295.992,296.076,295.945,295.926,296.382,296.416,296.327,296.346,296.438,296.431,296.284,296.19,296.769,296.745,296.714,296.668,296.666,296.605,296.672,296.565,297.085,297.12,297.071,297.037,296.995,296.951,296.904,296.79
295.899,295.857,295.845,295.865,295.864,295.752,295.762,295.879,295.853,295.848,295.841,295.794,295.846,295.658,295.692,296.051,295.977,296.027,296.067,296.005,296.076,295.919,295.89,296.349,296.351,296.354,296.327,296.294,296.384,296.244,296.242,296.697,296.733,296.64,296.652,296.755,296.751,296.587,296.515,297.088,297.066,297.035,296.991,296.987,296.917,296.994,296.867,297.413,297.447,297.395,297.367,297.33,297.282,297.233,297.125
