"Q1.0K0.1","Q1.0K0.15","Q1.0K0.2","Q1.0K0.25","Q1.0K0.3","Q1.0K0.4","Q1.0K0.5","Q1.5K0.05","Q1.5K0.1","Q1.5K0.15","Q1.5K0.2","Q1.5K0.25","Q1.5K0.3","Q1.5K0.4","Q1.5K0.5","Q2.0K0.05","Q2.0K0.1","Q2.0K0.15","Q2.0K0.2","Q2.0K0.25","Q2.0K0.3","Q2.0K0.4","Q2.0K0.5","Q2.5K0.05","Q2.5K0.1","Q2.5K0.15","Q2.5K0.2","Q2.5K0.25","Q2.5K0.3","Q2.5K0.4","Q2.5K0.5","Q3.0K0.05","Q3.0K0.1","Q3.0K0.15","Q3.0K0.2","Q3.0K0.25","Q3.0K0.3","Q3.0K0.4","Q3.0K0.5","Q3.5K0.05","Q3.5K0.1","Q3.5K0.15","Q3.5K0.2","Q3.5K0.25","Q3.5K0.3","Q3.5K0.4","Q3.5K0.5","Q4.0K0.05","Q4.0K0.1","Q4.0K0.15","Q4.0K0.2","Q4.0K0.25","Q4.0K0.3","Q4.0K0.4","Q4.0K0.5"
284.159,284.142,284.163,284.167,284.157,284.188,284.182,284.159,284.15,284.163,284.164,284.178,284.139,284.155,284.186,284.168,284.156,284.16,284.182,284.158,284.137,284.172,284.195,284.148,284.197,284.181,284.156,284.169,284.171,284.178,284.163,284.176,284.176,284.147,284.146,284.183,284.142,284.181,284.176,284.174,284.177,284.17,284.169,284.189,284.176,284.17,284.134,284.178,284.181,284.191,284.178,284.152,284.167,284.183,284.2
284.187,284.172,284.187,284.19,284.18,284.217,284.21,284.182,284.176,284.187,284.186,284.202,284.162,284.179,284.193,284.194,284.177,284.186,284.207,284.183,284.16,284.199,284.215,284.173,284.229,284.208,284.184,284.19,284.196,284.2,284.169,284.202,284.204,284.171,284.173,284.213,284.172,284.205,284.212,284.201,284.205,284.195,284.199,284.219,284.203,284.201,284.138,284.205,284.21,284.215,284.202,284.181,284.19,284.197,284.226
284.212,284.199,284.211,284.212,284.202,284.245,284.236,284.204,284.204,284.212,284.212,284.226,284.189,284.204,284.202,284.221,284.2,284.215,284.231,284.21,284.186,284.232,284.235,284.2,284.253,284.231,284.209,284.215,284.22,284.222,284.178,284.229,284.231,284.195,284.199,284.245,284.201,284.232,284.243,284.229,284.232,284.22,284.232,284.251,284.234,284.23,284.15,284.236,284.239,284.242,284.227,284.212,284.214,284.209,284.251
284.238,284.23,284.236,284.236,284.223,284.269,284.26,284.226,284.232,284.24,284.24,284.249,284.217,284.23,284.219,284.251,284.223,284.242,284.254,284.233,284.217,284.271,284.258,284.231,284.274,284.256,284.238,284.239,284.246,284.248,284.195,284.261,284.258,284.218,284.225,284.277,284.231,284.261,284.273,284.258,284.259,284.245,284.262,284.284,284.266,284.26,284.173,284.266,284.267,284.269,284.255,284.239,284.243,284.225,284.277
284.265,284.259,284.261,284.263,284.247,284.292,284.285,284.252,284.259,284.267,284.272,284.273,284.246,284.256,284.239,284.279,284.252,284.274,284.275,284.259,284.249,284.309,284.278,284.264,284.293,284.281,284.264,284.262,284.273,284.275,284.214,284.288,284.285,284.245,284.251,284.309,284.261,284.291,284.306,284.286,284.285,284.275,284.295,284.312,284.297,284.288,284.205,284.297,284.292,284.302,284.285,284.268,284.273,284.249,284.301
284.293,284.287,284.288,284.287,284.273,284.312,284.309,284.279,284.285,284.297,284.304,284.297,284.273,284.283,284.262,284.307,284.281,284.306,284.296,284.284,284.279,284.346,284.298,284.296,284.32,284.307,284.294,284.285,284.303,284.304,284.237,284.318,284.315,284.274,284.277,284.337,284.289,284.321,284.334,284.312,284.308,284.304,284.325,284.343,284.326,284.316,284.248,284.329,284.319,284.329,284.316,284.298,284.308,284.279,284.332
284.322,284.315,284.319,284.315,284.302,284.332,284.341,284.306,284.313,284.326,284.335,284.322,284.299,284.314,284.286,284.335,284.312,284.337,284.322,284.31,284.31,284.377,284.317,284.329,284.341,284.334,284.325,284.312,284.33,284.337,284.261,284.349,284.346,284.309,284.304,284.365,284.313,284.347,284.363,284.341,284.336,284.332,284.357,284.376,284.358,284.346,284.297,284.363,284.345,284.357,284.347,284.329,284.344,284.314,284.368
284.353,284.343,284.348,284.345,284.333,284.354,284.374,284.333,284.344,284.358,284.368,284.351,284.325,284.343,284.311,284.364,284.342,284.367,284.349,284.336,284.343,284.404,284.343,284.361,284.372,284.364,284.358,284.339,284.361,284.373,284.295,284.381,284.377,284.342,284.339,284.392,284.34,284.375,284.396,284.374,284.366,284.36,284.39,284.409,284.392,284.379,284.346,284.398,284.379,284.391,284.38,284.365,284.382,284.352,284.409
284.384,284.374,284.379,284.373,284.366,284.379,284.406,284.361,284.374,284.387,284.403,284.381,284.356,284.374,284.335,284.393,284.375,284.398,284.378,284.367,284.376,284.424,284.373,284.393,284.404,284.395,284.39,284.373,284.393,284.41,284.332,284.413,284.405,284.376,284.379,284.422,284.373,284.404,284.423,284.406,284.401,284.389,284.427,284.437,284.422,284.414,284.394,284.434,284.414,284.424,284.417,284.403,284.415,284.397,284.449
284.413,284.404,284.407,284.402,284.399,284.401,284.436,284.393,284.406,284.417,284.436,284.412,284.384,284.408,284.363,284.421,284.408,284.429,284.409,284.402,284.415,284.442,284.403,284.428,284.44,284.434,284.419,284.406,284.429,284.446,284.377,284.446,284.435,284.413,284.417,284.453,284.409,284.433,284.46,284.44,284.438,284.424,284.464,284.468,284.454,284.445,284.444,284.468,284.453,284.459,284.457,284.444,284.447,284.446,284.491
284.442,284.434,284.437,284.431,284.432,284.425,284.468,284.427,284.438,284.447,284.469,284.446,284.414,284.438,284.398,284.451,284.443,284.458,284.441,284.438,284.449,284.459,284.435,284.464,284.475,284.469,284.454,284.444,284.466,284.48,284.423,284.483,284.466,284.448,284.459,284.484,284.445,284.463,284.494,284.473,284.472,284.459,284.5,284.5,284.485,284.478,284.497,284.502,284.492,284.496,284.497,284.486,284.482,284.492,284.534
284.468,284.466,284.468,284.46,284.466,284.45,284.499,284.463,284.469,284.477,284.502,284.481,284.451,284.467,284.434,284.484,284.479,284.492,284.476,284.475,284.485,284.474,284.47,284.501,284.511,284.505,284.488,284.486,284.502,284.517,284.473,284.522,284.501,284.485,284.499,284.514,284.482,284.498,284.524,284.508,284.506,284.497,284.531,284.534,284.513,284.511,284.543,284.535,284.532,284.53,284.54,284.532,284.522,284.536,284.567
